column,q1,q3,lower_bound,upper_bound,values_clipped,clip_ratio
age_years,59.0,70.0,42.5,86.5,71,0.03215579710144927
baseline_albumin,40.5,45.3,33.300000000000004,52.49999999999999,29,0.013134057971014492
baseline_alt,14.5,27.15,-4.474999999999998,46.125,106,0.04800724637681159
baseline_ck,63.0,112.0,-10.5,185.5,125,0.05661231884057971
baseline_ck_mb,12.0,17.0,4.5,24.5,60,0.02717391304347826
baseline_creatinine,67.0,90.0,32.5,124.5,50,0.022644927536231884
baseline_crp,0.535,5.0,-6.1625,11.6975,124,0.05615942028985507
baseline_ctnt,0.007,0.013,-0.001999999999999999,0.022,182,0.08242753623188406
baseline_hba1c,5.67,6.93,3.7800000000000002,8.82,88,0.03985507246376811
baseline_hdl_cholesterol,0.89,1.24,0.3650000000000001,1.765,46,0.020833333333333332
baseline_ldl,1.27677272725,2.292727273,-0.24715909137500014,3.8166590916250005,50,0.022644927536231884
baseline_lipoprotein_a,11.0,67.2,-73.30000000000001,151.5,192,0.08695652173913043
baseline_lv_end_diastolic_diameter,44.0,50.0,35.0,59.0,54,0.024456521739130436
baseline_lv_end_systolic_diameter,28.0,32.0,22.0,38.0,103,0.04664855072463768
baseline_lvef,62.0,67.0,54.5,74.5,154,0.06974637681159421
baseline_lymphocyte_pct,24.2,34.55,8.675000000000002,50.074999999999996,15,0.006793478260869565
baseline_mcv,88.5,93.7,80.69999999999999,101.5,29,0.013134057971014492
baseline_neutrophil_pct,53.4,65.0,36.0,82.4,17,0.007699275362318841
baseline_nt_pro_bnp,34.45,149.0,-137.375,320.825,217,0.09827898550724638
baseline_pdw,10.7,13.6,6.349999999999999,17.95,35,0.01585144927536232
baseline_platelet_count,166.0,235.0,62.5,338.5,35,0.01585144927536232
baseline_total_cholesterol,3.04,4.297499999999999,1.153750000000001,6.183749999999998,36,0.016304347826086956
baseline_triglycerides,1.08,2.33,-0.7949999999999999,4.205,103,0.04664855072463768
baseline_uric_acid,295.0,402.0,134.5,562.5,39,0.017663043478260868
baseline_wbc,5.17,7.38,1.855,10.695,26,0.01177536231884058
calcified_mean_hu,448.0,656.25,135.625,968.625,339,0.15353260869565216
calcified_plaque_burden,0.003534051125,0.065020165775,-0.08869512085,0.15724933775,162,0.07336956521739131
calcified_volume_mm3,3.3070861538,68.1406166077,-93.94320952705,165.39091228855,201,0.09103260869565218
calcified_volume_ratio,0.048567331925,0.40846661175,-0.4912815878124999,0.9483155314874999,2,0.0009057971014492754
contact_volume_mm3,201.23499999999999,1064.1275,-1093.1037500000002,2358.4662500000004,76,0.034420289855072464
eccentricity_index,0.907014164925,0.9999963858,0.7675408336124998,1.1394697171125001,327,0.1480978260869565
fibrotic_mean_hu,190.0,223.0,140.5,272.5,43,0.01947463768115942
fibrotic_plaque_burden,0.015206075475,0.080925072,-0.0833724193125,0.1795035667875,61,0.0276268115942029
fibrotic_volume_mm3,13.510754585225,91.26011211695,-103.1132817123625,207.8841484145375,116,0.05253623188405797
fibrotic_volume_ratio,0.2493915882,0.4054253928,0.01534088129999997,0.6394760997,43,0.01947463768115942
fibrous_fatty_mean_hu,78.0,90.0,60.0,108.0,104,0.04710144927536232
fibrous_fatty_plaque_burden,0.014441705225,0.080297133575,-0.08434143729999999,0.1790802761,77,0.034873188405797104
fibrous_fatty_volume_mm3,12.87064052805,95.99272545605001,-111.81248686395001,220.67585284805003,125,0.05661231884057971
fibrous_fatty_volume_ratio,0.171692712925,0.49675815395,-0.31590544861250003,0.9843563154875,2,0.0009057971014492754
followup_albumin,40.0,45.0,32.5,52.5,22,0.009963768115942028
followup_alt,15.0,28.0,-4.5,47.5,76,0.034420289855072464
followup_ck,65.0,117.0,-13.0,195.0,129,0.058423913043478264
followup_ck_mb,13.0,18.3,5.049999999999999,26.25,68,0.030797101449275364
followup_creatinine,65.0,89.0,29.0,125.0,74,0.03351449275362319
followup_crp,0.4,5.0,-6.499999999999999,11.899999999999999,77,0.034873188405797104
followup_ctnt,0.007,0.013,-0.001999999999999999,0.022,206,0.09329710144927536
followup_hba1c,5.7,6.9,3.9,8.700000000000001,82,0.03713768115942029
followup_hdl_cholesterol,0.93,1.29,0.39,1.83,38,0.017210144927536232
followup_ldl,0.98,1.71,-0.11499999999999999,2.8049999999999997,70,0.03170289855072464
followup_lipoprotein_a,9.0,66.0,-76.5,151.5,187,0.08469202898550725
followup_lv_end_diastolic_diameter,44.0,50.0,35.0,59.0,24,0.010869565217391304
followup_lv_end_systolic_diameter,28.0,32.0,22.0,38.0,62,0.028079710144927536
followup_lvef,61.0,67.0,52.0,76.0,63,0.028532608695652172
followup_lymphocyte_pct,23.0,33.4,7.400000000000002,49.0,15,0.006793478260869565
followup_mcv,88.8,94.0,81.0,101.80000000000001,29,0.013134057971014492
followup_neutrophil_pct,54.475,66.1,37.03750000000001,83.53749999999998,27,0.012228260869565218
followup_nt_pro_bnp,35.5,155.0,-143.75,334.25,206,0.09329710144927536
followup_pdw,10.4,13.6,5.600000000000001,18.4,31,0.014039855072463768
followup_platelet_count,162.0,224.0,69.0,317.0,32,0.014492753623188406
followup_total_cholesterol,2.78,3.69,1.4149999999999996,5.055,70,0.03170289855072464
followup_triglycerides,1.02,2.24,-0.8100000000000003,4.07,116,0.05253623188405797
followup_uric_acid,274.0,382.0,112.0,544.0,28,0.012681159420289856
followup_wbc,5.02,7.16,1.8099999999999987,10.370000000000001,33,0.014945652173913044
lesion_range_mm,11.7,38.475,-28.462500000000002,78.6375,56,0.025362318840579712
low_attenuation_mean_hu,0.0,11.0,-16.5,27.5,33,0.014945652173913044
low_attenuation_plaque_burden,0.0010135572499999999,0.02100958035,-0.028980477400000003,0.051003615,136,0.06159420289855073
low_attenuation_volume_mm3,0.9654922485499999,24.275506019625002,-33.9995284080625,59.24052667623751,183,0.08288043478260869
low_attenuation_volume_ratio,0.011126960049999999,0.12678364814999998,-0.1623580721,0.3002686803,101,0.04574275362318841
lumen_volume_mm3,54.745755672475,196.7235574492,-158.22094699261254,409.6902601142875,107,0.04846014492753623
mean_hu,-82.9325,-69.6625,-102.83750000000002,-49.75749999999998,39,0.017663043478260868
min_hu,-190.0,-175.0,-212.5,-152.5,214,0.09692028985507246
minimum_luminal_area_mm3,0.27878374985,4.001577683,-5.305407149875,9.585768582724999,30,0.01358695652173913
non_calcified_mean_hu,102.0,176.0,-9.0,287.0,8,0.0036231884057971015
non_calcified_plaque_burden,0.039491274325,0.1886352611,-0.18422470583750003,0.4123512412625,44,0.019927536231884056
non_calcified_volume_mm3,34.486003875775,216.5270330577,-238.5755398971125,489.5885768305875,111,0.050271739130434784
non_calcified_volume_ratio,0.59153338825,0.951432668075,0.05168446851249997,1.4912815878125,2,0.0009057971014492754
postop_ck,65.0,124.0,-23.5,212.5,157,0.07110507246376811
postop_ck_mb,13.0,20.0,2.5,30.5,87,0.03940217391304348
postop_ctnt,0.014,0.06,-0.05500000000000001,0.129,219,0.09918478260869565
postop_nt_pro_bnp,44.8,205.0,-195.5,445.29999999999995,216,0.09782608695652174
remodeling_index,1.4152903486750001,1.948815206375,0.6150030621250004,2.7491024929249996,141,0.06385869565217392
std_hu,25.93,33.2525,14.946250000000003,44.23625,19,0.008605072463768116
vessel_volume_mm3,776.324806003575,1456.03537893295,-243.24105339048754,2475.6012383270127,33,0.014945652173913044
whole_lesion_plaque_burden,0.0529385451,0.26664121240000005,-0.2676154558500001,0.5871952133500001,25,0.011322463768115942
whole_lesion_volume_mm3,46.746414,301.299206,-335.08277400000003,683.1283940000001,91,0.04121376811594203
