column,value,count
artery_vessel,RCA,825
artery_vessel,LAD,808
artery_vessel,LCX,575
lesion_segment,LAD-Proximal,522
lesion_segment,RCA-Proximal,422
lesion_segment,RCA-Middle,403
lesion_segment,LCX-Proximal,313
lesion_segment,LAD-Middle,286
lesion_segment,LCX-Middle,262
contact_segment,LAD-Proximal,704
contact_segment,RCA-Proximal,490
contact_segment,LCX-Proximal,477
contact_segment,RCA-Middle,335
contact_segment,LAD-Middle,104
contact_segment,LCX-Middle,98
plaque_type,Mixed,1628
plaque_type,Non_Calcified,356
plaque_type,Calcified,224
lesion_stenosis_grade,Moderate,875
lesion_stenosis_grade,Mild,663
lesion_stenosis_grade,Severe,565
lesion_stenosis_grade,Minimal,105
