column,dtype,n_missing,pct_missing,n_unique
myocardial_bridge_level,float64,2208,100.0,0
followup_lvef,float64,884,40.03623188405797,38
followup_lv_end_systolic_diameter,float64,882,39.94565217391305,29
followup_lv_end_diastolic_diameter,float64,881,39.900362318840585,33
followup_ck_mb,float64,759,34.375,174
followup_alt,float64,723,32.744565217391305,329
baseline_ck_mb,float64,588,26.6304347826087,185
baseline_alt,float64,545,24.682971014492754,360
postop_ck_mb,float64,507,22.96195652173913,159
followup_hba1c,float64,443,20.06340579710145,274
postop_nt_pro_bnp,float64,395,17.889492753623188,791
baseline_hba1c,float64,390,17.66304347826087,329
baseline_ck,float64,379,17.16485507246377,210
baseline_crp,float64,377,17.07427536231884,404
baseline_pdw,float64,372,16.847826086956523,115
baseline_lipoprotein_a,float64,370,16.757246376811594,648
baseline_lymphocyte_pct,float64,369,16.71195652173913,323
baseline_mcv,float64,369,16.71195652173913,195
baseline_wbc,float64,369,16.71195652173913,503
baseline_neutrophil_pct,float64,369,16.71195652173913,358
baseline_platelet_count,float64,369,16.71195652173913,238
baseline_nt_pro_bnp,float64,365,16.530797101449277,768
baseline_ctnt,float64,364,16.485507246376812,83
baseline_albumin,float64,364,16.485507246376812,360
baseline_total_cholesterol,float64,362,16.394927536231883,351
baseline_ldl,float64,362,16.394927536231883,955
followup_lipoprotein_a,float64,362,16.394927536231883,556
baseline_hdl_cholesterol,float64,362,16.394927536231883,135
baseline_triglycerides,float64,362,16.394927536231883,356
baseline_uric_acid,float64,361,16.34963768115942,341
baseline_creatinine,float64,361,16.34963768115942,104
postop_ctnt,float64,275,12.454710144927535,239
postop_ck,float64,265,12.001811594202898,264
followup_crp,float64,218,9.873188405797102,289
followup_neutrophil_pct,float64,216,9.782608695652174,357
followup_ldl,float64,215,9.73731884057971,692
followup_triglycerides,float64,215,9.73731884057971,359
followup_albumin,float64,214,9.692028985507246,407
followup_ck,float64,214,9.692028985507246,232
followup_creatinine,float64,213,9.646739130434783,117
followup_hdl_cholesterol,float64,213,9.646739130434783,150
followup_total_cholesterol,float64,212,9.601449275362318,320
followup_ctnt,float64,212,9.601449275362318,85
followup_wbc,float64,211,9.556159420289854,494
followup_mcv,float64,209,9.465579710144928,201
followup_pdw,float64,208,9.420289855072465,114
followup_uric_acid,float64,207,9.375,347
followup_platelet_count,float64,207,9.375,234
followup_lymphocyte_pct,float64,207,9.375,329
followup_nt_pro_bnp,float64,205,9.284420289855072,773
baseline_lvef,float64,172,7.789855072463768,43
baseline_lv_end_systolic_diameter,float64,167,7.563405797101449,34
baseline_lv_end_diastolic_diameter,float64,167,7.563405797101449,33
history_hypertension,float64,24,1.0869565217391304,2
lesion_segment,str,0,0.0,6
prior_revascularization_flag,int64,0,0.0,1
artery_vessel,str,0,0.0,3
history_pci,int64,0,0.0,2
history_smoking,int64,0,0.0,2
target_lesion_positive,int64,0,0.0,2
history_diabetes,int64,0,0.0,2
cta_admission_number,int64,0,0.0,1314
history_cabg,int64,0,0.0,2
contact_segment,str,0,0.0,6
current_intervention_flag,int64,0,0.0,1
age_years,int64,0,0.0,55
sex,int64,0,0.0,2
accession_id,str,0,0.0,1314
lesion_stenosis_grade,str,0,0.0,4
plaque_type,str,0,0.0,3
stent_present,int64,0,0.0,1
myocardial_bridge_depth_mm,int64,0,0.0,1
lesion_range_mm,float64,0,0.0,286
stenosis_percent,float64,0,0.0,84
remodeling_index,float64,0,0.0,2208
eccentricity_index,float64,0,0.0,2069
minimum_luminal_area_mm3,float64,0,0.0,1178
maximum_diameter_stenosis_percent,float64,0,0.0,1907
maximum_area_stenosis_percent,float64,0,0.0,1935
calcified_mean_hu,int64,0,0.0,524
calcified_volume_mm3,float64,0,0.0,1851
calcified_volume_ratio,float64,0,0.0,1873
calcified_plaque_burden,float64,0,0.0,1887
non_calcified_mean_hu,int64,0,0.0,241
non_calcified_volume_mm3,float64,0,0.0,2195
non_calcified_volume_ratio,float64,0,0.0,1873
non_calcified_plaque_burden,float64,0,0.0,2208
low_attenuation_mean_hu,int64,0,0.0,59
low_attenuation_volume_mm3,float64,0,0.0,1797
low_attenuation_volume_ratio,float64,0,0.0,1917
low_attenuation_plaque_burden,float64,0,0.0,1936
fibrous_fatty_mean_hu,int64,0,0.0,68
fibrous_fatty_volume_mm3,float64,0,0.0,2125
fibrous_fatty_volume_ratio,float64,0,0.0,2159
fibrous_fatty_plaque_burden,float64,0,0.0,2170
fibrotic_mean_hu,int64,0,0.0,150
fibrotic_volume_mm3,float64,0,0.0,2166
fibrotic_volume_ratio,float64,0,0.0,2168
fibrotic_plaque_burden,float64,0,0.0,2201
whole_lesion_volume_mm3,float64,0,0.0,2195
whole_lesion_plaque_burden,float64,0,0.0,2208
lumen_volume_mm3,float64,0,0.0,2195
vessel_volume_mm3,float64,0,0.0,2017
positive_remodeling_flag,int64,0,0.0,2
low_attenuation_plaque_flag,int64,0,0.0,2
napkin_ring_sign_flag,int64,0,0.0,2
spotty_calcification_flag,int64,0,0.0,2
max_hu,int64,0,0.0,5
min_hu,int64,0,0.0,93
mean_hu,float64,0,0.0,1655
std_hu,float64,0,0.0,1318
contact_volume_mm3,float64,0,0.0,2184
ffrct_value,float64,0,0.0,68
